Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2015,Um deslize perigoso,Dope,Rick Famuyiwa,Homem,EUA,2020,3
2002,Spun - Sem limites,Spun,Jonas Akerlund,Homem,EUA,2020,2
1985,Vá e Veja!,Idi i Smotri,Elem Klimov,Homem,Rússia,2020,5
2015,Palmeiras na neve,Palmeras en la nieve,Fernando González Molina,Homem,Espanha,2020,3
2019,"Shau, O Carneiro - Farmageddon",Shaun the Sheep Movie: Farmageddon,Richard Starzak; Will Becher,Homem,Inglaterra,2020,3
2019,Papai Poderoso,Chief Daddy,Niyi Akinmolayan,Homem,Nigéria,2020,3
2020,Vampiros vs o Bronx,Vampires vs the Bronx,Osmany Rodriguez,Homem,EUA,2020,3
1995,Memórias,Memorîzu,Kouji Morimoto; Tensai Okamura; Katsuhiro Otomo,Homem,Japão,2020,3
1986,Alien: O resgate,Aliens,James Cameron,Homem,EUA,2020,"3,5"
2012,"Belo Monte, Anúncio de uma guerra","Belo Monte, Anúncio de uma guerra",André D'Élia,Homem,Brasil,2020,5
2016,Asperger's are us,Asperger's are us,Alexandre Lehmann,Homem,EUA,2020,3
1971,O dragão chinês,Tang Shan da Xiong,Chia-Hsiang Wu; Lo Wei,Homem,China,2020,3
2020,A caminho da lua,Over the moon,Glen Keane,Homem,EUA,2020,3
2015,O convite,The invitation,Karyn Kusama,Mulher,EUA,2020,3
1966,A Negra de...,La noire de...,Ousmane Sembene,Homem,Senegal,2020,5
1977,Emitai,Emitai,Ousmane Sembene,Homem,Senegal,2020,5
2008,"$9,99","$9,99",Tatia Rosenthal,Mulher,Austrália,2020,"3,5"
1991,O poderoso chefão: parte III,The Godfather: Part III,Francis Ford Coppola,Homem,EUA,2020,3
2016,The Arbitration,The Arbitration,Niyi Akinmolayan,Homem,Nigéria,2020,4
2017,Elon não acredita na morte,Elon não acredita na morte,Ricardo Alves Jr.,Homem,Brasil,2020,"2,5"
2017,Hakkúndè,Hakkúndè,Oluseyi Asurf,Homem,Nigéria,2020,3
2013,A busca,A busca,Luciano Moura,Homem,Brasil,2020,4
2000,Cão que ladra não morde,Flandersui Gae,Bong Joon-ho,Homem,Coréia do Sul,2020,"3,5"
2020,Harriet,Harriet,Kasi Lemmons,Mulher,EUA,2020,4
2016,O amor no divã,O amor no divã,Alexandre Reinecke,Homem,Brasil,2020,"3,5"
2020,Soul,Soul,Peter Docter,Homem,EUA,2021,"3,5"
2012,Te amarei até a morte,Jab Tak Hai Jaan,Yash Chopra,Homem,Índia,2021,4
2020,Cidade Pássaro,Cidade Pássaro,Matias Marani,Homem,Brasil,2021,"3,5"
2010,Porto Seguro,Anchor Baby,Lonzo Nzekwe,Homem,Nigéria,2021,5
2012,Último voo para Abuja,Last flight to Abuja,Obi Emelonye,Homem,Nigéria,2021,3
2016,Casamento às avessas,The wedding party,Kemi Adetiba,Mulher,Nigéria,2021,3
2001,Lagaan: Era uma vez na Índia,Lagaan: Once upon a time in India,Ashutosh Gowariker,Homem,Índia,2021,"3,5"
2002,Dragão Vermelho,Red Dragon,Brett Ratner,Homem,EUA,2021,5
2018,Nas estrelas,En las estrellas,Zoe Berriatúa,Homem,Espanha,2021,3
2016,Ethel & Enerst,Ethel & Enerst,Roger Mainwood,Homem,Inglaterra,2021,4
2018,The delivery boy,The delivery boy,Adekunle Nodash Adejuyigbe,Homem,Nigéria,2021,"3,5"
2016,Tim Maia - Não há nada a perder,Tim Maia - Não há nada a perder,Mauro Lima,Homem,Brasil,2021,5
2019,Estou me guardando para quando o Carnaval chegar,Estou me guardando para quando o Carnaval chegar,Marcelo Gomes,Homem,Brasil,2021,4
2021,Malcolm & Marie,Malcolm & Marie,Sam Levison,Homem,EUA,2021,"3,5"
2021,Cabras da Peste,Cabras da Peste,Vitor Brant,Homem,Brasil,2021,"2,5"
1991,Silêncio dos Inocentes,The silence of the lambs,Jhonathan Demme,Homem,EUA,2021,5
2010,Trabalho Interno,Inside Job,Charles Ferguson,Homem,EUA,2021,5
2001,Hannibal,Hannibal,Ridley Scott,Homem,EUA,2021,3
2020,O dilema das redes,The social dilemma,Jeff Orlowski,Homem,EUA,2021,4
2020,A voz suprema do blues,Ma Rainey’s Black Bottom,George C. Wolfe,Homem,EUA,2021,4
2021,Coded Bias,Coded Bias,Shalini Kantayya,Mulher,EUA,2021,5
2015,Ponte Aérea,Ponte Aérea,Julia Rezende,Mulher,Brasil,2021,"3,5"
2004,Kill Bill 2,Kill Bill 2,Quentin Tarantino,Homem,EUA,2021,"3,5"
2019,Privacidade Hackeada,The great hack,Jehane Noujaim; Karim Amber,Ambos,Inglaterra,2021,"3,5"
2016,Seoul Station,Seoul Yeok,Yeon Sang-Ho,Homem,Coréia do Sul,2021,4
2018,Operação Overlord,Overlod,Julius Avery,Homem,Austrália,2021,"3,5"
2002,Tiros em Columbine,Bowling for Columbine,Michael Moore,Homem,EUA,2021,5
2020,Fuja,Run,Aneesh Chaganty,Homem,EUA,2021,4
1980,Sexta-feira 13,Friday 13th,Sean S. Cunningham,Homem,EUA,2021,4
2021,Anônimo,Nobody,IIya Naishuller,Homem,EUA,2021,"3,5"
1988,Eles Vivem,They Live,John Carpenter,Homem,EUA,2021,4
